market_id,as_of,end_at,start_price,end_price,yes_outcome,winning_side,source,source_symbol,rule,fetched_at
btc_5m_up_down_20260506T182500Z,2026-05-06T18:25:00Z,2026-05-06T18:30:00Z,81480.05000000,81480.02000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:00.020170Z
btc_5m_up_down_20260506T183000Z,2026-05-06T18:30:00Z,2026-05-06T18:35:00Z,81469.33000000,81333.50000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:07.187107Z
btc_5m_up_down_20260506T183500Z,2026-05-06T18:35:00Z,2026-05-06T18:40:00Z,81357.62000000,81354.06000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:07.782825Z
btc_5m_up_down_20260506T184000Z,2026-05-06T18:40:00Z,2026-05-06T18:45:00Z,81321.06000000,81407.62000000,1.0,YES,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:08.574037Z
btc_5m_up_down_20260506T184500Z,2026-05-06T18:45:00Z,2026-05-06T18:50:00Z,81382.45000000,81293.70000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:11.314833Z
btc_5m_up_down_20260506T185000Z,2026-05-06T18:50:00Z,2026-05-06T18:55:00Z,81353.36000000,81403.01000000,1.0,YES,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:12.810643Z
btc_5m_up_down_20260506T185500Z,2026-05-06T18:55:00Z,2026-05-06T19:00:00Z,81409.34000000,81382.28000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:14.200119Z
btc_5m_up_down_20260506T190000Z,2026-05-06T19:00:00Z,2026-05-06T19:05:00Z,81353.15000000,81369.88000000,1.0,YES,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:14.664395Z
btc_5m_up_down_20260506T190500Z,2026-05-06T19:05:00Z,2026-05-06T19:10:00Z,81350.00000000,81290.44000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:15.656076Z
btc_5m_up_down_20260506T191000Z,2026-05-06T19:10:00Z,2026-05-06T19:15:00Z,81339.98000000,81227.68000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:16.290897Z
btc_5m_up_down_20260506T191500Z,2026-05-06T19:15:00Z,2026-05-06T19:20:00Z,81249.30000000,81316.63000000,1.0,YES,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:19.886340Z
btc_5m_up_down_20260506T192000Z,2026-05-06T19:20:00Z,2026-05-06T19:25:00Z,81316.64000000,81278.59000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:34.208849Z
btc_5m_up_down_20260506T192500Z,2026-05-06T19:25:00Z,2026-05-06T19:30:00Z,81308.76000000,81316.03000000,1.0,YES,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:44.442431Z
btc_5m_up_down_20260506T193000Z,2026-05-06T19:30:00Z,2026-05-06T19:35:00Z,81335.85000000,81304.50000000,0.0,NO,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:38:49.981317Z
btc_5m_up_down_20260506T193500Z,2026-05-06T19:35:00Z,2026-05-06T19:40:00Z,81279.22000000,81408.38000000,1.0,YES,binance,BTCUSDT,YES=end_price>start_price over 5m; otherwise NO,2026-05-09T07:39:07.731860Z
