timestamp_s,market_id,token_id,best_bid,best_ask,orderbook_mid,spread,depth_usd,bids,asks,source,quality_stale,quality_partial,metadata
1775130455.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.495,0.505,0.5,0.010000000000000009,2000.0,"[{'price': 0.495, 'size': 2020.2020202020203}]","[{'price': 0.505, 'size': 1980.19801980198}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130515.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.495,0.505,0.5,0.010000000000000009,2000.0,"[{'price': 0.495, 'size': 2020.2020202020203}]","[{'price': 0.505, 'size': 1980.19801980198}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130576.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130636.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130698.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130761.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130814.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130876.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130937.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775130994.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775131056.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775131115.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775131176.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775131244.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775131310.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.4851,0.4949,0.49,0.009800000000000031,2000.0,"[{'price': 0.4851, 'size': 2061.4306328592043}]","[{'price': 0.4949, 'size': 2020.6102242877348}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
