domain,timestamp,market_id,target,original_action,policy_action,reason,edge,news_score
weather,2026-04-24 17:00:04+0000,highest-temperature-in-shanghai-on-april-25-2026-21c,21°C NO,NO,NO,weather_execution_in_trades,0.1469634913387674,0.23240000000000002
weather,2026-04-24 17:00:04+0000,highest-temperature-in-shanghai-on-april-25-2026-16c,16°C NO,HOLD,DROP,weather_execution_not_selected,0.024433905949791,0.23240000000000002
weather,2026-04-24 17:00:04+0000,highest-temperature-in-shanghai-on-april-25-2026-23c,23°C YES,HOLD,DROP,weather_execution_not_selected,0.0230602880939082,0.23240000000000002
weather,2026-04-24 17:00:04+0000,highest-temperature-in-shanghai-on-april-25-2026-14corbelow,14°C or below NO,HOLD,DROP,weather_execution_not_selected,0.0026823908144104,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-21c,21°C NO,NO,DROP,weather_execution_not_selected,0.1469634913387674,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-18c,18°C YES,HOLD,DROP,weather_execution_not_selected,0.0927728587453328,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-19c,19°C YES,HOLD,DROP,weather_execution_not_selected,0.0898612261029305,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-22c,22°C YES,HOLD,DROP,weather_execution_not_selected,0.0782089762855156,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-17c,17°C NO,HOLD,DROP,weather_execution_not_selected,0.0597519445840238,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-16c,16°C NO,HOLD,DROP,weather_execution_not_selected,0.024433905949791,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-23c,23°C NO,HOLD,DROP,weather_execution_not_selected,0.0230602880939082,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-15c,15°C YES,HOLD,DROP,weather_execution_not_selected,0.007958187045001,0.23240000000000002
weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-14corbelow,14°C or below NO,HOLD,DROP,weather_execution_not_selected,0.0026823908144104,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-21c,21°C NO,NO,DROP,weather_execution_not_selected,0.1469634913387674,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-20c,20°C NO,NO,DROP,weather_execution_not_selected,0.1323049541630592,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-18c,18°C YES,HOLD,DROP,weather_execution_not_selected,0.0927728587453328,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-19c,19°C YES,HOLD,DROP,weather_execution_not_selected,0.0898612261029305,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-22c,22°C YES,HOLD,DROP,weather_execution_not_selected,0.0782089762855156,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-17c,17°C NO,HOLD,DROP,weather_execution_not_selected,0.0597519445840238,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-16c,16°C NO,HOLD,DROP,weather_execution_not_selected,0.024433905949791,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-23c,23°C NO,HOLD,DROP,weather_execution_not_selected,0.0230602880939082,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-15c,15°C YES,HOLD,DROP,weather_execution_not_selected,0.007958187045001,0.23240000000000002
weather,2026-04-24 17:00:06+0000,highest-temperature-in-shanghai-on-april-25-2026-14corbelow,14°C or below NO,HOLD,DROP,weather_execution_not_selected,0.0026823908144104,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-21c,21°C NO,NO,DROP,weather_execution_not_selected,0.1469634913387674,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-20c,20°C NO,NO,DROP,weather_execution_not_selected,0.1323049541630592,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-18c,18°C YES,HOLD,DROP,weather_execution_not_selected,0.0927728587453328,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-19c,19°C YES,HOLD,DROP,weather_execution_not_selected,0.0898612261029305,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-22c,22°C YES,HOLD,DROP,weather_execution_not_selected,0.0782089762855156,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-17c,17°C NO,HOLD,DROP,weather_execution_not_selected,0.0597519445840238,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-24corhigher,24°C or higher YES,HOLD,DROP,weather_execution_not_selected,0.0394566204519446,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-16c,16°C NO,HOLD,DROP,weather_execution_not_selected,0.024433905949791,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-23c,23°C NO,HOLD,DROP,weather_execution_not_selected,0.0230602880939082,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-15c,15°C YES,HOLD,DROP,weather_execution_not_selected,0.007958187045001,0.23240000000000002
weather,2026-04-24 17:00:07+0000,highest-temperature-in-shanghai-on-april-25-2026-14corbelow,14°C or below NO,HOLD,DROP,weather_execution_not_selected,0.0026823908144104,0.23240000000000002
weather,2026-04-24 17:00:08+0000,highest-temperature-in-shanghai-on-april-25-2026-21c,21°C NO,NO,DROP,weather_execution_not_selected,0.1469634913387674,0.23240000000000002
weather,2026-04-24 17:00:08+0000,highest-temperature-in-shanghai-on-april-25-2026-20c,20°C NO,NO,DROP,weather_execution_not_selected,0.1323049541630592,0.23240000000000002
