method,domain,timestamp,market_id,target,market_prob,model_prob,data_score,news_score,edge,action,outcome,evidence_ref,pnl,metadata
market_only,btc,2026-05-08T15:19:25.242637Z,btc_5m_up_down,BTC near-term price direction,0.5,0.5,0.0,0.0,0.0,YES,LOSE,ev_btc_001,,"{""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""YES"", ""confidence"": 0.05, ""direction_score"": 0.0, ""evidence_jsonl"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/Coursework/dia/outputs_btc_window/evidence.jsonl"", ""probability_delta"": 0.0, ""raw_metadata"": {""data_score"": 0.0, ""evidence_count"": 0, ""market_id"": ""btc_5m_up_down"", ""market_prob"": 0.5, ""market_prob_source"": ""default"", ""news_score"": 0.0, ""time_window"": {""as_of"": ""2026-04-05T00:00:00Z"", ""end"": ""2026-04-05T00:00:00Z"", ""start"": ""2026-04-04T00:00:00Z""}}, ""relevance"": 0.0, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/Coursework/dia/outputs_btc_window/signals.csv"", ""source"": ""acy_news"", ""yes_market_prob"": 0.5, ""yes_model_prob"": 0.5, ""yes_outcome"": 0.0}"
market_only,cs2,2026-05-08T15:19:34.709222Z,demo_match,Natus Vincere vs Vitality,0.5,0.5,0.0,0.0,0.0,YES,,ev_cs2_001,,"{""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""YES"", ""confidence"": 0.7275, ""direction_score"": 0.0, ""evidence_jsonl"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/Coursework/dia/outputs_cs2_window/evidence.jsonl"", ""probability_delta"": 0.0, ""raw_metadata"": {""data_score"": 0.0, ""market_id"": ""demo_match"", ""market_prob"": 0.5, ""market_prob_source"": ""default"", ""news_score"": 0.0, ""probabilities"": {""team_a"": 0.5, ""team_b"": 0.5}, ""team_scores"": {""falcons"": 0.0, ""faze clan"": 0.0, ""furia"": 0.0, ""natus vincere"": 0.0, ""team vitality"": 0.0}, ""time_window"": {""as_of"": ""2026-04-05T00:00:00Z"", ""end"": ""2026-04-05T00:00:00Z"", ""start"": ""2026-04-04T00:00:00Z""}}, ""relevance"": 0.51, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/Coursework/dia/outputs_cs2_window/signals.csv"", ""source"": ""acy_news"", ""yes_market_prob"": 0.5, ""yes_model_prob"": 0.5, ""yes_outcome"": null}"
market_only,weather,2026-05-08T15:19:56.725432Z,shanghai_high_temp_2026_04_30,Shanghai maximum temperature on 2026-04-30,0.5,0.5,0.0,0.0,0.0,NO,,ev_weather_001,,"{""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""NO"", ""confidence"": 0.417, ""direction_score"": 0.4229, ""evidence_jsonl"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/Coursework/dia/outputs_weather_window/evidence.jsonl"", ""probability_delta"": 0.0282, ""raw_metadata"": {""adjusted_forecast_max_temp_c"": 19.5, ""best_outcome"": ""19°C"", ""city"": ""Shanghai"", ""data_score"": 0.0, ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""market_prob"": 0.5, ""market_prob_source"": ""default"", ""news_adjustment_c"": 0.0, ""news_score"": 0.274885, ""news_window"": {""as_of"": ""2026-04-05T00:00:00Z"", ""end_date"": ""2026-04-05T00:00:00Z"", ""start_date"": ""2026-04-04T00:00:00Z""}, ""outcome_probabilities"": {""13°C or below"": 0.00135, ""14°C"": 0.00486, ""15°C"": 0.01654, ""16°C"": 0.044057, ""17°C"": 0.091848, ""18°C"": 0.149882, ""19°C"": 0.191462, ""20°C"": 0.191462, ""21°C"": 0.149882, ""22°C or above"": 0.158655}, ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""time_window"": {""as_of"": ""2026-04-05T00:00:00Z"", ""end"": ""2026-04-05T00:00:00Z"", ""start"": ""2026-04-04T00:00:00Z""}, ""weather_outcome_rows"": [{""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 13.5, ""bin_low_c"": null, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.0013499, ""news_adjustment_c"": 0.0, ""outcome_label"": ""13°C or below"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 14.5, ""bin_low_c"": 13.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.00485977, ""news_adjustment_c"": 0.0, ""outcome_label"": ""14°C"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 15.5, ""bin_low_c"": 14.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.01654047, ""news_adjustment_c"": 0.0, ""outcome_label"": ""15°C"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 16.5, ""bin_low_c"": 15.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.04405707, ""news_adjustment_c"": 0.0, ""outcome_label"": ""16°C"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 17.5, ""bin_low_c"": 16.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.09184805, ""news_adjustment_c"": 0.0, ""outcome_label"": ""17°C"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 18.5, ""bin_low_c"": 17.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.14988228, ""news_adjustment_c"": 0.0, ""outcome_label"": ""18°C"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 19.5, ""bin_low_c"": 18.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.19146246, ""news_adjustment_c"": 0.0, ""outcome_label"": ""19°C"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 20.5, ""bin_low_c"": 19.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.19146246, ""news_adjustment_c"": 0.0, ""outcome_label"": ""20°C"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": 21.5, ""bin_low_c"": 20.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.14988228, ""news_adjustment_c"": 0.0, ""outcome_label"": ""21°C"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}, {""adjusted_forecast_max_temp_c"": 19.5, ""bin_high_c"": null, ""bin_low_c"": 21.5, ""city"": ""Shanghai"", ""forecast_max_temp_c"": 19.5, ""market_id"": ""shanghai_high_temp_2026_04_30"", ""model_prob"": 0.15865525, ""news_adjustment_c"": 0.0, ""outcome_label"": ""22°C or above"", ""sigma"": 2.0, ""target_date"": ""2026-04-30"", ""top_news_tags"": """"}]}, ""relevance"": 0.65, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/Coursework/dia/outputs_weather_window/signals.csv"", ""source"": ""acy_news"", ""yes_market_prob"": 0.5, ""yes_model_prob"": 0.191462, ""yes_outcome"": null}"
market_only,weather,2026-04-24 17:00:04+0000,highest-temperature-in-shanghai-on-april-25-2026-21c,21°C NO,0.675,0.675,0.0,0.0,0.0,NO,LOSE,weather_20260424T1700040000_21degC_NO_0,,"{""actual_outcome_label"": ""21°C"", ""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""NO"", ""market_label"": ""21°C"", ""raw_action"": ""enter"", ""raw_metadata"": {""city"": ""Shanghai"", ""event_slug"": ""highest-temperature-in-shanghai-on-april-25-2026"", ""forecast_max_temp_c"": 20.145045045045045, ""model_spread_c"": 0.4344902239725321, ""no_edge"": 0.1469634913387674, ""no_price"": 0.675, ""no_token_id"": ""6600869415235234739113536876024845564601770506073575854794389414674247773148"", ""side"": ""NO"", ""sigma_c"": 2.0, ""signal"": ""BUY_NO"", ""station"": ""Shanghai Pudong International Airport / ZSPD"", ""target_date"": ""2026-04-25"", ""yes_edge"": -0.1469634913387675, ""yes_price"": 0.325, ""yes_token_id"": ""50759952516921683806590325046321609891406831273298749415210025765732529363546""}, ""raw_pnl"": -1.0, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/git/DIA-CW/poly-ok-check/research/data/external/weather/signals.csv"", ""source"": ""Weather"", ""source_method"": ""weather_forecast_market_edge"", ""yes_outcome"": 1.0}"
market_only,weather,2026-04-24 17:00:04+0000,highest-temperature-in-shanghai-on-april-25-2026-16c,16°C NO,0.9985,0.9985,0.0,0.0,0.0,NO,WIN,weather_20260424T1700040000_16degC_NO_1,,"{""actual_outcome_label"": ""21°C"", ""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""NO"", ""market_label"": ""16°C"", ""raw_action"": ""hold"", ""raw_metadata"": {""city"": ""Shanghai"", ""event_slug"": ""highest-temperature-in-shanghai-on-april-25-2026"", ""forecast_max_temp_c"": 20.145045045045045, ""model_spread_c"": 0.4344902239725321, ""no_edge"": -0.024433905949791, ""no_price"": 0.9985, ""no_token_id"": ""100837883325605398134487748715848636264431716282357492523915232208195011429556"", ""side"": ""NO"", ""sigma_c"": 2.0, ""signal"": ""NO_TRADE"", ""station"": ""Shanghai Pudong International Airport / ZSPD"", ""target_date"": ""2026-04-25"", ""yes_edge"": 0.0244339059497908, ""yes_price"": 0.0015, ""yes_token_id"": ""44167651817099446783815539672606043691981901657368926840506630379769644596723""}, ""raw_pnl"": null, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/git/DIA-CW/poly-ok-check/research/data/external/weather/signals.csv"", ""source"": ""Weather"", ""source_method"": ""weather_forecast_market_edge"", ""yes_outcome"": 0.0}"
market_only,weather,2026-04-24 17:00:04+0000,highest-temperature-in-shanghai-on-april-25-2026-23c,23°C YES,0.0514999999999999,0.0514999999999999,0.0,0.0,0.0,HOLD,,weather_20260424T1700040000_23degC_YES_2,,"{""actual_outcome_label"": ""21°C"", ""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""YES"", ""market_label"": ""23°C"", ""raw_action"": ""hold"", ""raw_metadata"": {""city"": ""Shanghai"", ""event_slug"": ""highest-temperature-in-shanghai-on-april-25-2026"", ""forecast_max_temp_c"": 20.145045045045045, ""model_spread_c"": 0.4344902239725321, ""no_edge"": -0.0230602880939082, ""no_price"": 0.9485, ""no_token_id"": ""39297431802330418176600229304137278775592846689384230841205404558310615766714"", ""side"": ""YES"", ""sigma_c"": 2.0, ""signal"": ""NO_TRADE"", ""station"": ""Shanghai Pudong International Airport / ZSPD"", ""target_date"": ""2026-04-25"", ""yes_edge"": 0.0230602880939082, ""yes_price"": 0.0514999999999999, ""yes_token_id"": ""55119881139915150047687549993063416073741611448094822979089839705190222511057""}, ""raw_pnl"": null, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/git/DIA-CW/poly-ok-check/research/data/external/weather/signals.csv"", ""source"": ""Weather"", ""source_method"": ""weather_forecast_market_edge"", ""yes_outcome"": 0.0}"
market_only,weather,2026-04-24 17:00:04+0000,highest-temperature-in-shanghai-on-april-25-2026-14corbelow,14°C or below NO,0.9995,0.9995,0.0,0.0,0.0,NO,WIN,weather_20260424T1700040000_14degCorbelow_NO_3,,"{""actual_outcome_label"": ""21°C"", ""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""NO"", ""market_label"": ""14°C or below"", ""raw_action"": ""hold"", ""raw_metadata"": {""city"": ""Shanghai"", ""event_slug"": ""highest-temperature-in-shanghai-on-april-25-2026"", ""forecast_max_temp_c"": 20.145045045045045, ""model_spread_c"": 0.4344902239725321, ""no_edge"": -0.0026823908144104, ""no_price"": 0.9995, ""no_token_id"": ""45775586819215232072879051047244893526700440033153563354941898077627178097041"", ""side"": ""NO"", ""sigma_c"": 2.0, ""signal"": ""NO_TRADE"", ""station"": ""Shanghai Pudong International Airport / ZSPD"", ""target_date"": ""2026-04-25"", ""yes_edge"": 0.0026823908144103, ""yes_price"": 0.0005, ""yes_token_id"": ""79698291196775326960535282402974997664790264522617573071325367085041720800997""}, ""raw_pnl"": null, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/git/DIA-CW/poly-ok-check/research/data/external/weather/signals.csv"", ""source"": ""Weather"", ""source_method"": ""weather_forecast_market_edge"", ""yes_outcome"": 0.0}"
market_only,weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-21c,21°C NO,0.675,0.675,0.0,0.0,0.0,NO,LOSE,weather_20260424T1700050000_21degC_NO_4,,"{""actual_outcome_label"": ""21°C"", ""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""NO"", ""market_label"": ""21°C"", ""raw_action"": ""enter"", ""raw_metadata"": {""city"": ""Shanghai"", ""event_slug"": ""highest-temperature-in-shanghai-on-april-25-2026"", ""forecast_max_temp_c"": 20.145045045045045, ""model_spread_c"": 0.4344902239725321, ""no_edge"": 0.1469634913387674, ""no_price"": 0.675, ""no_token_id"": ""6600869415235234739113536876024845564601770506073575854794389414674247773148"", ""side"": ""NO"", ""sigma_c"": 2.0, ""signal"": ""BUY_NO"", ""station"": ""Shanghai Pudong International Airport / ZSPD"", ""target_date"": ""2026-04-25"", ""yes_edge"": -0.1469634913387675, ""yes_price"": 0.325, ""yes_token_id"": ""50759952516921683806590325046321609891406831273298749415210025765732529363546""}, ""raw_pnl"": null, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/git/DIA-CW/poly-ok-check/research/data/external/weather/signals.csv"", ""source"": ""Weather"", ""source_method"": ""weather_forecast_market_edge"", ""yes_outcome"": 1.0}"
market_only,weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-18c,18°C YES,0.019,0.019,0.0,0.0,0.0,HOLD,,weather_20260424T1700050000_18degC_YES_5,,"{""actual_outcome_label"": ""21°C"", ""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""YES"", ""market_label"": ""18°C"", ""raw_action"": ""hold"", ""raw_metadata"": {""city"": ""Shanghai"", ""event_slug"": ""highest-temperature-in-shanghai-on-april-25-2026"", ""forecast_max_temp_c"": 20.145045045045045, ""model_spread_c"": 0.4344902239725321, ""no_edge"": -0.0927728587453329, ""no_price"": 0.981, ""no_token_id"": ""83431679105790500357914638306748855360045789440575087961435690289945286586061"", ""side"": ""YES"", ""sigma_c"": 2.0, ""signal"": ""NO_TRADE"", ""station"": ""Shanghai Pudong International Airport / ZSPD"", ""target_date"": ""2026-04-25"", ""yes_edge"": 0.0927728587453329, ""yes_price"": 0.019, ""yes_token_id"": ""95940734271393381564818657240189882237465414719608860067136291748275676909570""}, ""raw_pnl"": null, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/git/DIA-CW/poly-ok-check/research/data/external/weather/signals.csv"", ""source"": ""Weather"", ""source_method"": ""weather_forecast_market_edge"", ""yes_outcome"": 0.0}"
market_only,weather,2026-04-24 17:00:05+0000,highest-temperature-in-shanghai-on-april-25-2026-19c,19°C YES,0.075,0.075,0.0,0.0,0.0,HOLD,,weather_20260424T1700050000_19degC_YES_6,,"{""actual_outcome_label"": ""21°C"", ""baseline_rule"": ""market_only"", ""baseline_source_method"": ""proposed_agent"", ""candidate_side"": ""YES"", ""market_label"": ""19°C"", ""raw_action"": ""hold"", ""raw_metadata"": {""city"": ""Shanghai"", ""event_slug"": ""highest-temperature-in-shanghai-on-april-25-2026"", ""forecast_max_temp_c"": 20.145045045045045, ""model_spread_c"": 0.4344902239725321, ""no_edge"": -0.0898612261029305, ""no_price"": 0.925, ""no_token_id"": ""72472725494293277948667871209157030871840301168892004976966730183682574730016"", ""side"": ""YES"", ""sigma_c"": 2.0, ""signal"": ""NO_TRADE"", ""station"": ""Shanghai Pudong International Airport / ZSPD"", ""target_date"": ""2026-04-25"", ""yes_edge"": 0.0898612261029305, ""yes_price"": 0.075, ""yes_token_id"": ""39642920790058577480296430916865167123150036897415790200419506175072862255046""}, ""raw_pnl"": null, ""signals_csv"": ""/Users/acy/Desktop/Nottingham/Senior year/COMP 4125 Designing Intelligent Agents/git/DIA-CW/poly-ok-check/research/data/external/weather/signals.csv"", ""source"": ""Weather"", ""source_method"": ""weather_forecast_market_edge"", ""yes_outcome"": 0.0}"
